obs_id,date,Treated,post,econ_active_rate,literacy_rate,pop_hh_ratio,hindu_rate,polygamy_rate,mean_ntl,period
1,1992-01-01,0,0,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,1
1,1993-01-01,0,0,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,2
1,1994-01-01,0,0,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,3
1,1995-01-01,0,0,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,4
1,1996-01-01,0,0,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,5
1,1997-01-01,0,0,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,6
1,1998-01-01,0,0,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,7
1,1999-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,8
1,2000-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,9
1,2001-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,10
1,2002-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,11
1,2003-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,12
1,2004-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,13
1,2005-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,14
1,2006-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,15
1,2007-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,16
1,2008-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,17
1,2009-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,18
1,2010-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,19
1,2011-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,20
1,2012-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,21
1,2013-01-01,0,1,0.771248179,0.420658059,4.866419295,1.074342356,0.007770763,0.0,22
2,1992-01-01,1,0,0.889576883,0.283681636,4.79704797,1.043076923,0.012899897,0.0,1
2,1993-01-01,1,0,0.889576883,0.283681636,4.79704797,1.043076923,0.012899897,0.0,2
2,1994-01-01,1,0,0.889576883,0.283681636,4.79704797,1.043076923,0.012899897,0.0,3
2,1995-01-01,1,0,0.889576883,0.283681636,4.79704797,1.043076923,0.012899897,0.0,4
2,1996-01-01,1,0,0.889576883,0.283681636,4.79704797,1.043076923,0.012899897,0.0,5
2,1997-01-01,1,0,0.889576883,0.283681636,4.79704797,1.043076923,0.012899897,0.0,6
2,1998-01-01,1,0,0.889576883,0.283681636,4.79704797,1.043076923,0.012899897,0.0,7
3,1992-01-01,1,0,0.911720511,0.446267696,5.145962733,1.161738081,0.010894065,0.0,1
3,1993-01-01,1,0,0.911720511,0.446267696,5.145962733,1.161738081,0.010894065,0.0,2
3,1994-01-01,1,0,0.911720511,0.446267696,5.145962733,1.161738081,0.010894065,0.0,3
3,1995-01-01,1,0,0.911720511,0.446267696,5.145962733,1.161738081,0.010894065,0.0,4
3,1996-01-01,1,0,0.911720511,0.446267696,5.145962733,1.161738081,0.010894065,0.0,5
3,1997-01-01,1,0,0.911720511,0.446267696,5.145962733,1.161738081,0.010894065,0.0,6
3,1998-01-01,1,0,0.911720511,0.446267696,5.145962733,1.161738081,0.010894065,0.0,7
4,1992-01-01,0,0,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,1
4,1993-01-01,0,0,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,2
4,1994-01-01,0,0,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,3
4,1995-01-01,0,0,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,4
4,1996-01-01,0,0,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,5
4,1997-01-01,0,0,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,6
4,1998-01-01,0,0,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,7
4,1999-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,8
4,2000-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,9
4,2001-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.456790123,10
4,2002-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,11
4,2003-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,12
4,2004-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,13
4,2005-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,14
4,2006-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,15
4,2007-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,16
4,2008-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,17
4,2009-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,18
4,2010-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,19
4,2011-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,20
4,2012-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,21
4,2013-01-01,0,1,0.978306216,0.368584223,4.735930736,1.096892139,0.017521902,0.0,22
5,1992-01-01,0,0,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,1
5,1993-01-01,0,0,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,2
5,1994-01-01,0,0,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,3
5,1995-01-01,0,0,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,4
5,1996-01-01,0,0,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,5
5,1997-01-01,0,0,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,6
5,1998-01-01,0,0,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,7
5,1999-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,8
5,2000-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,9
5,2001-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,10
5,2002-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,11
5,2003-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,12
5,2004-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,13
5,2005-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,14
5,2006-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,15
5,2007-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,16
5,2008-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,17
5,2009-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,18
5,2010-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,19
5,2011-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,20
5,2012-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,21
5,2013-01-01,0,1,0.759096132,0.367748279,5.157094595,1.173927285,0.021830716,0.0,22
